ref_name,rx_name,control_iso_name,iso_name,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay_name,date_added
Collier21,BNT162b2_1ds_Figure3_1,S:614G,B.1.1.7 Spike,Figure 3c,=,35.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_2,S:614G,B.1.1.7 Spike,Figure 3c,=,10.3,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_3,S:614G,B.1.1.7 Spike,Figure 3c,=,6.9,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_4,S:614G,B.1.1.7 Spike,Figure 3c,=,5.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_5,S:614G,B.1.1.7 Spike,Figure 3c,=,5.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_6,S:614G,B.1.1.7 Spike,Figure 3c,=,5.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_7,S:614G,B.1.1.7 Spike,Figure 3c,=,5.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_8,S:614G,B.1.1.7 Spike,Figure 3c,=,5.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_9,S:614G,B.1.1.7 Spike,Figure 3c,=,5.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_10,S:614G,B.1.1.7 Spike,Figure 3c,=,2.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_11,S:614G,B.1.1.7 Spike,Figure 3c,=,2.4,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_12,S:614G,B.1.1.7 Spike,Figure 3c,=,2.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_13,S:614G,B.1.1.7 Spike,Figure 3c,=,1.8,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_14,S:614G,B.1.1.7 Spike,Figure 3c,=,1.8,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_15,S:614G,B.1.1.7 Spike,Figure 3c,=,1.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_16,S:614G,B.1.1.7 Spike,Figure 3c,=,1.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_17,S:614G,B.1.1.7 Spike,Figure 3c,=,1.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_18,S:614G,B.1.1.7 Spike,Figure 3c,=,1.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_19,S:614G,B.1.1.7 Spike,Figure 3c,=,1.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_20,S:614G,B.1.1.7 Spike,Figure 3c,=,1.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_21,S:614G,B.1.1.7 Spike,Figure 3c,=,1.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_22,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_23,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_24,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_25,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_26,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_27,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_28,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_29,S:614G,B.1.1.7 Spike,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_30,S:614G,B.1.1.7 Spike,Figure 3c,=,0.9,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_31,S:614G,B.1.1.7 Spike,Figure 3c,=,0.9,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_32,S:614G,B.1.1.7 Spike,Figure 3c,=,0.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_33,S:614G,B.1.1.7 Spike,Figure 3c,=,0.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_34,S:614G,B.1.1.7 Spike,Figure 3c,=,0.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_35,S:614G,B.1.1.7 Spike,Figure 3c,=,0.5,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_36,S:614G,B.1.1.7 Spike,Figure 3c,=,0.4,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_37,S:614G,B.1.1.7 Spike,Figure 3c,=,0.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_1,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_2,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.5,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_3,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_4,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_5,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_6,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_7,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_8,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_9,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_10,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,0.9,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_11,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.3,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_12,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.8,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_13,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_14,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,1.8,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_15,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,2.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_16,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,2.4,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_17,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,3.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_18,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,3.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_19,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,3.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_20,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,4.1,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_21,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,3.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_22,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,5.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_23,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,5.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_24,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,5.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_25,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,4.5,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_26,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,4.5,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_27,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,3.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_28,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,3.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_29,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,9.3,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_30,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,9.3,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_31,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,26.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_32,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,17.3,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_33,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,17.3,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_34,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,19.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_35,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,48.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_36,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,59.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_1ds_Figure3_37,S:614G,B.1.1.7 Spike+S:484K,Figure 3c,=,59.7,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_1,S:614G,B.1.1.7 Spike,Figure 3e,=,3.8,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_2,S:614G,B.1.1.7 Spike,Figure 3e,=,3.5,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_3,S:614G,B.1.1.7 Spike,Figure 3e,=,3.2,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_4,S:614G,B.1.1.7 Spike,Figure 3e,=,2.9,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_5,S:614G,B.1.1.7 Spike,Figure 3e,=,2.9,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_6,S:614G,B.1.1.7 Spike,Figure 3e,=,2.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_7,S:614G,B.1.1.7 Spike,Figure 3e,=,2.6,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_8,S:614G,B.1.1.7 Spike,Figure 3e,=,2.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
Collier21,BNT162b2_2ds_Figure3_9,S:614G,B.1.1.7 Spike,Figure 3e,=,2.0,50,NULL,NULL,1,HIV pseudovirus,2021-04-06
