ref_name,control_iso_name,iso_name
Muik22c,Wuhan-Hu-1,BA.1 Spike
Muik22c,Wuhan-Hu-1,BA.2 Spike
Muik22c,Wuhan-Hu-1,BA.2.12.1 Spike
Muik22c,Wuhan-Hu-1,BA.4/5 Spike
Muik22c,Wuhan-Hu-1,SARS-CoV Spike
Muik22c,SARS-CoV-2/human/ITA/INMI1/2020,hCoV-19/Belgium/rega-20174/2021
Muik22c,SARS-CoV-2/human/ITA/INMI1/2020,Omicron/BA.2 full genome
Muik22c,SARS-CoV-2/human/ITA/INMI1/2020,Omicron/BA.4 full genome
Muik22c,Wuhan-Hu-1,B.1.1.7 Spike
Muik22c,Wuhan-Hu-1,S:19R+142D+156del+157del+158G+417N+452R+478K+614G+681R+950N
