ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added,,
Branche23,bivalent_BA1_booster_baseline,S:614G,Table S6,Pseudovirus (lentivirus),NT50,2806,21,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_baseline,BA.1 Spike,Table S6,Pseudovirus (lentivirus),NT50,304,21,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_baseline,BA.4/5 Spike,Table S6,Pseudovirus (lentivirus),NT50,126,21,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_baseline,B.1.351 Spike,Table S6,Pseudovirus (lentivirus),NT50,760,21,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_baseline,B.1.617.2 Spike,Table S6,Pseudovirus (lentivirus),NT50,1101,21,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D15,S:614G,Table S6,Pseudovirus (lentivirus),NT50,17823,20,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D15,BA.1 Spike,Table S6,Pseudovirus (lentivirus),NT50,2846,20,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D15,BA.4/5 Spike,Table S6,Pseudovirus (lentivirus),NT50,1247,20,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D15,B.1.351 Spike,Table S6,Pseudovirus (lentivirus),NT50,7365,20,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D15,B.1.617.2 Spike,Table S6,Pseudovirus (lentivirus),NT50,8528,20,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D29,S:614G,Table S6,Pseudovirus (lentivirus),NT50,16327,19,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D29,BA.1 Spike,Table S6,Pseudovirus (lentivirus),NT50,2021,19,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D29,BA.4/5 Spike,Table S6,Pseudovirus (lentivirus),NT50,991,19,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D29,B.1.351 Spike,Table S6,Pseudovirus (lentivirus),NT50,5217,19,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA1_booster_D29,B.1.617.2 Spike,Table S6,Pseudovirus (lentivirus),NT50,6459,19,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_baseline,S:614G,Table S7,Pseudovirus (lentivirus),NT50,2452,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_baseline,BA.1 Spike,Table S7,Pseudovirus (lentivirus),NT50,163,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_baseline,BA.4/5 Spike,Table S7,Pseudovirus (lentivirus),NT50,122,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_baseline,B.1.351 Spike,Table S7,Pseudovirus (lentivirus),NT50,637,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_baseline,B.1.617.2 Spike,Table S7,Pseudovirus (lentivirus),NT50,1101,25,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D15,S:614G,Table S7,Pseudovirus (lentivirus),NT50,26246,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D15,BA.1 Spike,Table S7,Pseudovirus (lentivirus),NT50,2405,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D15,BA.4/5 Spike,Table S7,Pseudovirus (lentivirus),NT50,2198,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D15,B.1.351 Spike,Table S7,Pseudovirus (lentivirus),NT50,11272,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D15,B.1.617.2 Spike,Table S7,Pseudovirus (lentivirus),NT50,13537,24,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D29,S:614G,Table S7,Pseudovirus (lentivirus),NT50,25367,22,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D29,BA.1 Spike,Table S7,Pseudovirus (lentivirus),NT50,2161,22,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D29,BA.4/5 Spike,Table S7,Pseudovirus (lentivirus),NT50,2151,22,1000000,40,NULL,2023-04-28,,
Branche23,bivalent_BA4/5_booster_D29,B.1.351 Spike,Table S7,Pseudovirus (lentivirus),NT50,8309,22,1000000,40,NULL,2023-04-28,,
