iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
hCoV-19/USA/GA-EHC-1034V/2021,B.1.2,FALSE,6913939,NULL,SRR19070006,TRUE
hCoV-19/USA/GA-EHC-1063Y/2021,B.1.568,FALSE,6913943,NULL,SRR19070093,TRUE
hCoV-19/USA/GA-EHC-1064Z/2021,B.1.2,FALSE,6913935,NULL,SRR19053471,TRUE
hCoV-19/USA/GA-EHC-1100J/2021,B.1.2,FALSE,6913940,NULL,SRR19070005,TRUE
hCoV-19/USA/GA-EHC-1183O/2021,B.1.493,FALSE,7961502,NULL,SRR19070090,TRUE
hCoV-19/USA/GA-EHC-1215U/2021,B.1.568,FALSE,6913941,NULL,SRR19070092,TRUE
hCoV-19/USA/GA-EHC-1253G/2021,B.1.568,FALSE,6913942,NULL,SRR19070091,TRUE
hCoV-19/USA/GA-EHC-2641Q/2021,B.1.2,FALSE,7961514,NULL,SRR19070094,TRUE
hCoV-19/USA/GA-EHC-705E/2021,B.1.2,FALSE,6913932,NULL,SRR19053474,TRUE
hCoV-19/USA/GA-EHC-706F/2021,B.1.2,FALSE,1503958,NULL,SRR19053475,TRUE
hCoV-19/USA/GA-EHC-760H/2021,B.1.2,FALSE,6913936,NULL,SRR19070009,TRUE
hCoV-19/USA/GA-EHC-769Q/2021,B.1.2,FALSE,6913937,NULL,SRR19070008,TRUE
hCoV-19/USA/GA-EHC-769Q/2021 Spike,B.1.2,FALSE,6913937,NULL,SRR19070008,TRUE
hCoV-19/USA/GA-EHC-798T/2021,B.1.2,FALSE,6913933,NULL,SRR19053473,TRUE
hCoV-19/USA/GA-EHC-962B/2021,B.1.2,FALSE,6913934,NULL,SRR19053472,TRUE
hCoV-19/USA/GA-EHC-997K/2021,B.1.2,FALSE,6913938,NULL,SRR19070007,TRUE
