iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
hCoV-19/France/ARA-HCL022018464001/2022,Omicron/BA.1,FALSE,9796048,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022018573901/2022,Omicron/BA.1,FALSE,9796064,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022019883201/2022,Omicron/BA.1,FALSE,9796293,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022019927901/2022,Omicron/BA.1,FALSE,9796308,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022020258601/2022,Omicron/BA.1,FALSE,9796522,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022021154301/2022,Omicron/BA.1,FALSE,9796778,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022026019301/2022,Omicron/BA.1,FALSE,10097779,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022026296401/2022,Omicron/BA.1,FALSE,10097819,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022029928601/2022,Omicron/BA.1,FALSE,10098134,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022035008101/2022,Omicron/BA.1,FALSE,10717410,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022037698401/2022,Omicron/BA.1,FALSE,11242032,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL022044350101/2022,Omicron/BA.1,FALSE,11242398,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL122003445701/2022,Omicron/BA.1,FALSE,9797505,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL122003970901/2022,Omicron/BA.1,FALSE,9797532,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL122004037701/2022,Omicron/BA.1,FALSE,9797540,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL122004577201/2022,Omicron/BA.1,FALSE,10098178,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL122005337501/2022,Omicron/BA.1,FALSE,10098207,NULL,NULL,TRUE
hCoV-19/France/ARA-HCL122005810301/2022,Omicron/BA.1,FALSE,10365884,NULL,NULL,TRUE
Destras22 P7 Baseline,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Destras22 P8 D6,Omicron/BA.2,FALSE,NULL,NULL,NULL,TRUE
