iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
Choudhary22_B2_11_d2,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_11_d4,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_11_d6,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_11_d8,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_11_d9,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_11_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_10_d1,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_10_d6,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_8_d4,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_8_d8,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_7_d10,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_7_d11,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_7_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d4,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d5,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d6,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d7,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d8,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d9,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d10,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d11,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d13,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_6_d14,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d4,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d5,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d6,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d7,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d9,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d10,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d11,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d13,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_5_d14,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_4_d8,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_4_d21,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d4,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d5,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d7,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d8,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d9,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d10,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d11,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_3_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d1,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d3,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d4,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d5,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d6,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d7,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d8,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d9,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d10,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d11,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d12,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d13,NULL,FALSE,NULL,NULL,NULL,TRUE
Choudhary22_B2_2_d14,NULL,FALSE,NULL,NULL,NULL,TRUE
