ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Trinite21,CP_early,Wuhan-Hu-1,S:614G,1,"Figure 2, Figure 3A",=,1.0,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,B.1.1.7 Spike,1,"Figure 2, Figure 3A",=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,S:614G,2,"Figure 2, Figure 3A",=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,B.1.1.7 Spike,2,"Figure 2, Figure 3A",=,2.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,S:614G,3,"Figure 2, Figure 3A",=,1.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,B.1.1.7 Spike,3,"Figure 2, Figure 3A",=,4.0,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,S:614G,4,"Figure 2, Figure 3A",=,1.0,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,B.1.1.7 Spike,4,"Figure 2, Figure 3A",=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,S:614G,5,"Figure 2, Figure 3A",=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,B.1.1.7 Spike,5,"Figure 2, Figure 3A",=,3.6,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,S:614G,6,"Figure 2, Figure 3A",=,1.0,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,B.1.1.7 Spike,6,"Figure 2, Figure 3A",=,0.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
Trinite21,CP_early,Wuhan-Hu-1,S:614G,7,"Figure 2, Figure 3A",=,1.3,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-03-09
