ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Hoffmann21,CP_ID15,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,3,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID15,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,7.1,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID15,Wuhan-Hu-1,P.1 Spike,1,Figure S3,=,4.6,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID18,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,1.2,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID18,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,3.6,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID18,Wuhan-Hu-1,P.1 Spike,1,Figure S3,=,6.1,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID20,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,0.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID20,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,2.6,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID20,Wuhan-Hu-1,P.1 Spike,1,Figure S3,=,4,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID22,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,1.7,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID22,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,17,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID22,Wuhan-Hu-1,P.1 Spike,1,Figure S3,=,9.8,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID23,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,0.8,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID23,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,6.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID23,Wuhan-Hu-1,P.1 Spike,1,Figure S3,=,6.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID24,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,3.3,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID24,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,7.1,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID24,Wuhan-Hu-1,P.1 Spike,1,Figure S3,=,11,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID27,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure S3,=,0.9,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
Hoffmann21,CP_ID27,Wuhan-Hu-1,B.1.351 Spike,1,Figure S3,=,1.5,IC50,NULL,NULL,1,vsv pseudovirus,2021-02-12
