ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay,date_added
Hu21,CQ012,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,3.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ016,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,0.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ024,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,6.6,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ026,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ028,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,0.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ038,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,16.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ045,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,0.6,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ046,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1d,=,0.3,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ012,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1d,=,17.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ016,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1d,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ024,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1d,=,2.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ028,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1d,=,3,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ045,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1d,=,1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CQ046,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1d,=,7.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 1b,=,3.19,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,2,Figure 1b,=,2.68,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,3,Figure 1b,=,13.04,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,4,Figure 1b,=,8.94,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,5,Figure 1b,=,6.93,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,6,Figure 1b,=,4.63,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,7,Figure 1b,=,3.68,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,8,Figure 1b,=,2.82,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,9,Figure 1b,=,2.12,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,10,Figure 1b,=,2.27,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,11,Figure 1b,=,2.09,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,12,Figure 1b,=,2.05,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,13,Figure 1b,=,1.52,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,14,Figure 1b,=,1.48,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,15,Figure 1b,=,1.31,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,16,Figure 1b,=,1.23,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,17,Figure 1b,=,2.01,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,18,Figure 1b,=,1.41,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.1.7 Spike,19,Figure 1b,=,2.23,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,1,Figure 1b,=,6.78,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,2,Figure 1b,=,33.38,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,3,Figure 1b,=,17.19,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,4,Figure 1b,=,33.38,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,5,Figure 1b,=,28.93,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,6,Figure 1b,=,20.22,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,7,Figure 1b,=,8.97,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,8,Figure 1b,=,10.55,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,9,Figure 1b,=,4.80,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
Hu21,CP_5-33d,Wuhan-Hu-1,B.1.351 Spike,10,Figure 1b,=,3.40,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-01-27
