ref_name,rx_name,control_variant_name,variant_name,ordinal_number,section,fold_cmp,fold,resistance_level,ineffective,cumulative_count,assay,date_added
Wang21f,Casirivimab,S:614G,B.1.1.7 Spike,1,Figure 1A,=,0.6,NULL,NULL,1,NULL,2021-03-10
Wang21f,Etesevimab,S:614G,B.1.1.7 Spike,1,Figure 1A,=,4.9,NULL,NULL,1,NULL,2021-03-10
Wang21f,P2C-1F11,S:614G,B.1.1.7 Spike,1,Figure 1A,=,0.7,NULL,NULL,1,NULL,2021-03-10
Wang21f,P5A-1D2,S:614G,B.1.1.7 Spike,1,Figure 1A,=,3.3,NULL,NULL,1,NULL,2021-03-10
Wang21f,P5A-3C8,S:614G,B.1.1.7 Spike,1,Figure 1A,=,2.2,NULL,NULL,1,NULL,2021-03-10
Wang21f,P22A-1D1,S:614G,B.1.1.7 Spike,1,Figure 1A,=,14.4,NULL,NULL,1,NULL,2021-03-10
Wang21f,BD-368-2,S:614G,B.1.1.7 Spike,1,Figure 1A,=,1.3,NULL,NULL,1,NULL,2021-03-10
Wang21f,P5A-1B9,S:614G,B.1.1.7 Spike,1,Figure 1A,=,1.1,NULL,NULL,1,NULL,2021-03-10
Wang21f,Imdevimab,S:614G,B.1.1.7 Spike,1,Figure 1A,=,0.4,NULL,NULL,1,NULL,2021-03-10
Wang21f,Vir-7831,S:614G,B.1.1.7 Spike,1,Figure 1A,=,0.5,NULL,NULL,1,NULL,2021-03-10
Wang21f,P2B-1G5,S:614G,B.1.1.7 Spike,1,Figure 1A,=,0.8,NULL,NULL,1,NULL,2021-03-10
Wang21f,4A8,S:614G,B.1.1.7 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,Casirivimab,S:614G,B.1.351 Spike,1,Figure 1A,=,13.0,NULL,NULL,1,NULL,2021-03-10
Wang21f,Etesevimab,S:614G,B.1.351 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,P2C-1F11,S:614G,B.1.351 Spike,1,Figure 1A,=,0.5,NULL,NULL,1,NULL,2021-03-10
Wang21f,P5A-1D2,S:614G,B.1.351 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,P5A-3C8,S:614G,B.1.351 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,P22A-1D1,S:614G,B.1.351 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,BD-368-2,S:614G,B.1.351 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,P5A-1B9,S:614G,B.1.351 Spike,1,Figure 1A,>,100,NULL,experimental,1,NULL,2021-03-10
Wang21f,Imdevimab,S:614G,B.1.351 Spike,1,Figure 1A,=,0.5,NULL,NULL,1,NULL,2021-03-10
Wang21f,Vir-7831,S:614G,B.1.351 Spike,1,Figure 1A,=,0.5,NULL,NULL,1,NULL,2021-03-10
