ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Planas21b,Bamlanivimab,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Bamlanivimab,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,100000.0,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,Bamlanivimab,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,>,100000.0,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,Etesevimab,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,32.3,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Etesevimab,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,10219.6,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,Etesevimab,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Casirivimab,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Casirivimab,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,4159.6,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Casirivimab,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Imdevimab,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Imdevimab,B.1 full genome,B.1.351 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,Imdevimab,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-109,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,0.5,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-109,B.1 full genome,B.1.351 full genome,1,Figure 3a,=,215.4,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-109,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,1.0,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-98,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,12.8,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-98,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,2076.4,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,RBD-98,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,0.3,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-85,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,0.1,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-85,B.1 full genome,B.1.351 full genome,1,Figure 3a,=,9.8,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-85,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,>,9999.0,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,RBD-48,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,124.5,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,RBD-48,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,1389.5,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,RBD-48,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,0.5,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,NTD-18,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,=,0.2,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,NTD-18,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,NTD-18,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,=,0.2,IC50,NULL,NULL,1,authentic virus,2021-05-28
Planas21b,NTD-20,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,NTD-20,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,NTD-20,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,NTD-71,B.1 full genome,B.1.1.7 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,NTD-71,B.1 full genome,B.1.351 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,NTD-71,B.1 full genome,B.1.617.2 full genome,1,Figure 3a,>,9999,IC50,NULL,experimental,1,authentic virus,2021-05-28
Planas21b,CP_Orleans,B.1 full genome,B.1.1.7 full genome,1,Figure 4a,=,1.5,IC50,NULL,NULL,25,authentic virus,2021-05-28
Planas21b,CP_Orleans,B.1 full genome,B.1.351 full genome,1,Figure 4a,=,5.5,IC50,NULL,NULL,25,authentic virus,2021-05-28
Planas21b,CP_Orleans,B.1 full genome,B.1.617.2 full genome,1,Figure 4a,=,5.5,IC50,NULL,NULL,25,authentic virus,2021-05-28
Planas21b,CP_Strasbourg,B.1.1.7 full genome,B.1.617.2 full genome,1,Figure 4a,=,5,IC50,NULL,NULL,26,authentic virus,2021-05-28
Planas21b,BNT_W8,B.1 full genome,B.1.1.7 full genome,1,Figure 4c,=,0.5,IC50,NULL,NULL,16,authentic virus,2021-05-28
Planas21b,BNT_W8,B.1 full genome,B.1.351 full genome,1,Figure 4c,=,14.1,IC50,NULL,NULL,16,authentic virus,2021-05-28
Planas21b,BNT_W8,B.1 full genome,B.1.617.2 full genome,1,Figure 4c,=,1.7,IC50,NULL,NULL,16,authentic virus,2021-05-28
Planas21b,BNT_W16,B.1 full genome,B.1.1.7 full genome,1,Figure 4c,=,0.8,IC50,NULL,NULL,13,authentic virus,2021-05-28
Planas21b,BNT_W16,B.1 full genome,B.1.351 full genome,1,Figure 4c,>,45.2,IC50,NULL,NULL,13,authentic virus,2021-05-28
Planas21b,BNT_W16,B.1 full genome,B.1.617.2 full genome,1,Figure 4c,=,3.2,IC50,NULL,NULL,13,authentic virus,2021-05-28
