ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay,date_added
Lien21,MVC_high,Wuhan-Hu-1,S:614G,1,Figure 2B,=,1.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,2,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,3,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,4,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,5,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,6,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,7,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,8,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,9,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,10,Figure 2B,=,1.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,11,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,12,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,13,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,14,Figure 2B,=,2.3,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,S:614G,15,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 2B,=,1.0,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,2,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,3,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,4,Figure 2B,=,1.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,5,Figure 2B,=,3.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,6,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,7,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,8,Figure 2B,=,2.3,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,9,Figure 2B,=,1.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,10,Figure 2B,=,2.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,11,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,12,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,13,Figure 2B,=,2.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,14,Figure 2B,=,2.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.1.7 Spike,15,Figure 2B,=,2.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,1,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,2,Figure 2B,=,45.6,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,3,Figure 2B,=,14.6,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,4,Figure 2B,=,8.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,5,Figure 2B,=,8.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,6,Figure 2B,=,2.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,7,Figure 2B,=,27.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,8,Figure 2B,=,4.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,9,Figure 2B,=,3.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,10,Figure 2B,=,4.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,11,Figure 2B,=,4.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,12,Figure 2B,=,4.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,13,Figure 2B,=,5.8,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,14,Figure 2B,=,6.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_high,Wuhan-Hu-1,B.1.351 Spike,15,Figure 2B,=,5.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,1,Figure 2B,=,0.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,2,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,3,Figure 2B,=,3.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,4,Figure 2B,=,2.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,5,Figure 2B,=,2.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,6,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,7,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,8,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,9,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,10,Figure 2B,=,1.4,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,11,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,12,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,13,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,14,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,S:614G,15,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,1,Figure 2B,=,1.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,2,Figure 2B,=,1.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,3,Figure 2B,=,2.3,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,4,Figure 2B,=,1.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,5,Figure 2B,=,1.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,6,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,7,Figure 2B,=,1.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,8,Figure 2B,=,1.9,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,9,Figure 2B,=,2.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,10,Figure 2B,=,2.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,11,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,12,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,13,Figure 2B,=,2.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,14,Figure 2B,=,1.5,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.1.7 Spike,15,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.351 Spike,1,Figure 2B,=,1.7,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.351 Spike,2,Figure 2B,=,18.0,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.351 Spike,3,Figure 2B,=,16.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.351 Spike,4,Figure 2B,=,41.1,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
Lien21,MVC_middle,Wuhan-Hu-1,B.1.351 Spike,5,Figure 2B,=,16.2,IC50,NULL,NULL,1,lentivirus pseudovirus,2021-05-10
