ref_name,rx_name,control_variant_name,variant_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,1,Figure 1C,=,1.6,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,2,Figure 1C,=,0.9,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,3,Figure 1C,=,0.9,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,4,Figure 1C,=,1.0,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,5,Figure 1C,=,1.1,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,6,Figure 1C,=,1.3,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,7,Figure 1C,=,1.0,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,8,Figure 1C,=,1.0,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,9,Figure 1C,=,1.1,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,10,Figure 1C,=,1.4,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,11,Figure 1C,=,4.9,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,12,Figure 1C,=,1.7,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,13,Figure 1C,=,1.4,50,NULL,NULL,1,authentic virus,2021-05-10
Sapkal21b,BBV152,hCoV-19/India/2020770,B.1.1.7 full genome,14,Figure 1C,=,1.3,50,NULL,NULL,1,authentic virus,2021-05-10
