rx_name,ab_name
LY-CoV555,Bamlanivimab
LY-CoV016,Etesevimab
LY-CoV555+LY-CoV016,Bamlanivimab
LY-CoV555+LY-CoV016,Etesevimab
REGN10933,Casirivimab
REGN10987,Imdevimab
REGN10933+REGN10987,Casirivimab
REGN10933+REGN10987,Imdevimab
COV2-2130,Cilgavimab
COV2-2196,Tixagevimab
COV2-2130+COV2-2196,Cilgavimab
COV2-2130+COV2-2196,Tixagevimab
2B04,2B04
2C02,2C02
2C03,2C03
2E06,2E06
COV2-2050,COV2-2050
COV2-2082,COV2-2082
COV2-2094,COV2-2094
COV2-2096,COV2-2096
COV2-2165,COV2-2165
COV2-2479,COV2-2479
COV2-2499,COV2-2499
COV2-2677,COV2-2677
COV2-2832,COV2-2832
rCR3022,rCR3022
