ref_name,rx_name,iso_name,section,inhibition_pcnt,cumulative_count,assay_name,titer,date_added
Collier21,BNT_TM_1,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,3475.23043,2021-04-06
Collier21,BNT_TM_2,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,892.934642,2021-04-06
Collier21,BNT_TM_3,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,711.96561,2021-04-06
Collier21,BNT_TM_4,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,103.846878,2021-04-06
Collier21,BNT_TM_5,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,92.7284744,2021-04-06
Collier21,BNT_TM_6,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,66.0194848,2021-04-06
Collier21,BNT_TM_7,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,52.6394661,2021-04-06
Collier21,BNT_TM_8,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,41.9711452,2021-04-06
Collier21,BNT_TM_9,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,41.9711452,2021-04-06
Collier21,BNT_TM_10,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,37.4774896,2021-04-06
Collier21,BNT_TM_11,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,29.882012,2021-04-06
Collier21,BNT_TM_12,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,29.882012,2021-04-06
Collier21,BNT_TM_13,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,29.882012,2021-04-06
Collier21,BNT_TM_14,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,23.8258926,2021-04-06
Collier21,BNT_TM_15,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,9.62956252,2021-04-06
Collier21,BNT_TM_16,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,4.35857238,2021-04-06
Collier21,BNT_TM_17,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,4.35857238,2021-04-06
Collier21,BNT_TM_18,S:614G,Ext Data Fig. 2a,50,1,HIV pseudovirus,4.35857238,2021-04-06
Collier21,BNT_TM_1,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,5466.44418,2021-04-06
Collier21,BNT_TM_2,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,1404.56222,2021-04-06
Collier21,BNT_TM_3,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,1000,2021-04-06
Collier21,BNT_TM_4,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,103.846878,2021-04-06
Collier21,BNT_TM_5,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,287.750703,2021-04-06
Collier21,BNT_TM_6,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,130.242912,2021-04-06
Collier21,BNT_TM_7,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,66.0194848,2021-04-06
Collier21,BNT_TM_8,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,103.846878,2021-04-06
Collier21,BNT_TM_9,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,92.7284744,2021-04-06
Collier21,BNT_TM_10,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,82.8004671,2021-04-06
Collier21,BNT_TM_11,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,73.9354055,2021-04-06
Collier21,BNT_TM_12,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,73.9354055,2021-04-06
Collier21,BNT_TM_13,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,18.9971532,2021-04-06
Collier21,BNT_TM_14,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,103.846878,2021-04-06
Collier21,BNT_TM_15,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,52.6394661,2021-04-06
Collier21,BNT_TM_16,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,15.1470434,2021-04-06
Collier21,BNT_TM_17,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,4.88117738,2021-04-06
Collier21,BNT_TM_18,S:69del+70del+501Y+570D,Ext Data Fig. 2a,50,1,HIV pseudovirus,4.35857238,2021-04-06
Collier21,CP_vaccinee_TM_1,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,6.15848211,2021-04-06
Collier21,CP_vaccinee_TM_2,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,15.2830673,2021-04-06
Collier21,CP_vaccinee_TM_3,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,21.9839265,2021-04-06
Collier21,CP_vaccinee_TM_4,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,26.366509,2021-04-06
Collier21,CP_vaccinee_TM_5,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,65.4318913,2021-04-06
Collier21,CP_vaccinee_TM_6,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,123.624704,2021-04-06
Collier21,CP_vaccinee_TM_7,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,162.377674,2021-04-06
Collier21,CP_vaccinee_TM_8,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,280.135676,2021-04-06
Collier21,CP_vaccinee_TM_9,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,306.79064,2021-04-06
Collier21,CP_vaccinee_TM_10,S:614G,Ext Data Fig. 2c,50,1,HIV pseudovirus,335.981829,2021-04-06
Collier21,CP_vaccinee_TM_1,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,31.6227766,2021-04-06
Collier21,CP_vaccinee_TM_2,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,8.8586679,2021-04-06
Collier21,CP_vaccinee_TM_3,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,45.4877795,2021-04-06
Collier21,CP_vaccinee_TM_4,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,71.6577484,2021-04-06
Collier21,CP_vaccinee_TM_5,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,94.1204967,2021-04-06
Collier21,CP_vaccinee_TM_6,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,94.1204967,2021-04-06
Collier21,CP_vaccinee_TM_7,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,54.5559478,2021-04-06
Collier21,CP_vaccinee_TM_8,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,335.981829,2021-04-06
Collier21,CP_vaccinee_TM_9,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,280.135676,2021-04-06
Collier21,CP_vaccinee_TM_10,S:69del+70del+501Y+570D,Ext Data Fig. 2c,50,1,HIV pseudovirus,483.293024,2021-04-06
Collier21,BNT_1st_Figure1_1,S:614G,Figure 1b,50,1,HIV pseudovirus,27257.3651,2021-04-06
Collier21,BNT_1st_Figure1_2,S:614G,Figure 1b,50,1,HIV pseudovirus,5124.80588,2021-04-06
Collier21,BNT_1st_Figure1_3,S:614G,Figure 1b,50,1,HIV pseudovirus,4256.30026,2021-04-06
Collier21,BNT_1st_Figure1_4,S:614G,Figure 1b,50,1,HIV pseudovirus,2935.90457,2021-04-06
Collier21,BNT_1st_Figure1_5,S:614G,Figure 1b,50,1,HIV pseudovirus,2025.12396,2021-04-06
Collier21,BNT_1st_Figure1_6,S:614G,Figure 1b,50,1,HIV pseudovirus,963.542705,2021-04-06
Collier21,BNT_1st_Figure1_7,S:614G,Figure 1b,50,1,HIV pseudovirus,380.754602,2021-04-06
Collier21,BNT_1st_Figure1_8,S:614G,Figure 1b,50,1,HIV pseudovirus,380.754602,2021-04-06
Collier21,BNT_1st_Figure1_9,S:614G,Figure 1b,50,1,HIV pseudovirus,380.754602,2021-04-06
Collier21,BNT_1st_Figure1_10,S:614G,Figure 1b,50,1,HIV pseudovirus,262.636353,2021-04-06
Collier21,BNT_1st_Figure1_11,S:614G,Figure 1b,50,1,HIV pseudovirus,262.636353,2021-04-06
Collier21,BNT_1st_Figure1_12,S:614G,Figure 1b,50,1,HIV pseudovirus,124.960914,2021-04-06
Collier21,BNT_1st_Figure1_13,S:614G,Figure 1b,50,1,HIV pseudovirus,103.783672,2021-04-06
Collier21,BNT_1st_Figure1_14,S:614G,Figure 1b,50,1,HIV pseudovirus,86.1953566,2021-04-06
Collier21,BNT_1st_Figure1_15,S:614G,Figure 1b,50,1,HIV pseudovirus,86.1953566,2021-04-06
Collier21,BNT_1st_Figure1_16,S:614G,Figure 1b,50,1,HIV pseudovirus,71.5877495,2021-04-06
Collier21,BNT_1st_Figure1_17,S:614G,Figure 1b,50,1,HIV pseudovirus,71.5877495,2021-04-06
Collier21,BNT_1st_Figure1_18,S:614G,Figure 1b,50,1,HIV pseudovirus,71.5877495,2021-04-06
Collier21,BNT_1st_Figure1_19,S:614G,Figure 1b,50,1,HIV pseudovirus,59.4557071,2021-04-06
Collier21,BNT_1st_Figure1_20,S:614G,Figure 1b,50,1,HIV pseudovirus,49.3796932,2021-04-06
Collier21,BNT_1st_Figure1_21,S:614G,Figure 1b,50,1,HIV pseudovirus,49.3796932,2021-04-06
Collier21,BNT_1st_Figure1_22,S:614G,Figure 1b,50,1,HIV pseudovirus,49.3796932,2021-04-06
Collier21,BNT_1st_Figure1_23,S:614G,Figure 1b,50,1,HIV pseudovirus,49.3796932,2021-04-06
Collier21,BNT_1st_Figure1_24,S:614G,Figure 1b,50,1,HIV pseudovirus,34.0610526,2021-04-06
Collier21,BNT_1st_Figure1_25,S:614G,Figure 1b,50,1,HIV pseudovirus,28.2886943,2021-04-06
Collier21,BNT_1st_Figure1_26,S:614G,Figure 1b,50,1,HIV pseudovirus,28.2886943,2021-04-06
Collier21,BNT_1st_Figure1_27,S:614G,Figure 1b,50,1,HIV pseudovirus,16.2060591,2021-04-06
Collier21,BNT_1st_Figure1_28,S:614G,Figure 1b,50,1,HIV pseudovirus,13.4596032,2021-04-06
Collier21,BNT_1st_Figure1_29,S:614G,Figure 1b,50,1,HIV pseudovirus,9.28414545,2021-04-06
Collier21,BNT_1st_Figure1_30,S:614G,Figure 1b,50,1,HIV pseudovirus,9.28414545,2021-04-06
Collier21,BNT_1st_Figure1_31,S:614G,Figure 1b,50,1,HIV pseudovirus,6.40400427,2021-04-06
Collier21,BNT_1st_Figure1_32,S:614G,Figure 1b,50,1,HIV pseudovirus,3.66873319,2021-04-06
Collier21,BNT_1st_Figure1_33,S:614G,Figure 1b,50,1,HIV pseudovirus,3.66873319,2021-04-06
Collier21,BNT_1st_Figure1_34,S:614G,Figure 1b,50,1,HIV pseudovirus,3.66873319,2021-04-06
Collier21,BNT_1st_Figure1_35,S:614G,Figure 1b,50,1,HIV pseudovirus,3.66873319,2021-04-06
