variant_name,parent_variant_name,display_name,site_directed,gisaid_id,genbank_accn,expandable
20A.EU2 Spike,NULL,20A.EU2,FALSE,NULL,NULL,TRUE
B.1 clade G full genome,NULL,B.1 clade G,FALSE,568579,NULL,TRUE
B.1.1.298 Spike,NULL,B.1.1.298,FALSE,NULL,NULL,TRUE
B.1.1.7 full genome,NULL,B.1.1.7,FALSE,NULL,NULL,TRUE
B.1.1.7 S1,NULL,B.1.1.7,FALSE,NULL,NULL,TRUE
B.1.1.7 Spike,NULL,B.1.1.7,FALSE,NULL,NULL,TRUE
B.1.1.7 Spike+S:484K,NULL,B.1.1.7/E484K,FALSE,NULL,NULL,TRUE
B.1.1.117 full genome,NULL,B.1.1.117,FALSE,NULL,NULL,TRUE
B.1.351 full genome,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 NTD,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 RBD,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 RBD+S:614G,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 Spike,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-215G,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-242del-243del-244del-246I,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-246I,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-246I,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-244del-246I,NULL,B.1.351,FALSE,NULL,NULL,TRUE
B.1.427 full genome,NULL,B.1.427,FALSE,NULL,NULL,TRUE
B.1.429 full genome,NULL,B.1.429,FALSE,NULL,NULL,TRUE
B.1.429 Spike,NULL,B.1.429,FALSE,NULL,NULL,TRUE
B.1.526 Spike,NULL,B.1.526,FALSE,NULL,NULL,TRUE
B.1.526 Spike:-484K+477N,NULL,NULL,FALSE,NULL,NULL,TRUE
B.1.1.50 full genome+S:681H,NULL,B.1.1.50,FALSE,745038,NULL,TRUE
Choi20-d152,NULL,Choi20-d152,FALSE,NULL,NULL,TRUE
COH.20G/677H Spike,NULL,COH.20G/677H,FALSE,NULL,NULL,TRUE
Control,NULL,Control,FALSE,NULL,NULL,TRUE
Kemp21-d101,NULL,Kemp21-d101,FALSE,NULL,NULL,TRUE
Khatamzas21-d154,NULL,Khatamzas21-d154,FALSE,NULL,NULL,TRUE
Mink Cluster 5 Spike,NULL,Mink Cluster 5,FALSE,NULL,NULL,TRUE
P.1 full genome,NULL,P.1,FALSE,NULL,NULL,TRUE
P.1 Spike,NULL,P.1,FALSE,NULL,NULL,TRUE
P.2 full genome,NULL,P.2,FALSE,NULL,NULL,TRUE
P.2 Spike,NULL,P.2,FALSE,NULL,NULL,TRUE
PT188_EM,NULL,PT188_EM,FALSE,NULL,NULL,TRUE
S:1098Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1118H,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1124V,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1128F,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1134Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1147L,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1158Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1163Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1173Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1194Q,NULL,NULL,TRUE,NULL,NULL,TRUE
S:1229I,NULL,NULL,TRUE,NULL,NULL,TRUE
S:12P,NULL,NULL,TRUE,NULL,NULL,TRUE
S:136Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:138Y,NULL,NULL,TRUE,NULL,NULL,TRUE
S:144del,NULL,NULL,TRUE,NULL,NULL,TRUE
S:145del,NULL,NULL,TRUE,NULL,NULL,TRUE
