ref_name,doi,url,first_author,year,date_added
Baum20,10.1126/science.abd0831,NULL,"Baum, A",2020,2020-06-23
Liu20e,10.1038/s41586-020-2571-7,NULL,"Liu, Lihong",2020,2020-07-09
Weisblum20,10.7554/eLife.61312,NULL,"Weisblum, Y",2020,2020-11-04
Li20h,10.1016/j.cell.2020.07.012,NULL,"Li, Q",2020,2020-11-06
Liu20h,10.1101/2020.11.06.372037,NULL,"Liu, Z",2020,2020-11-07
Tortorici20,10.1126/science.abe3354,NULL,"Tortorici, MA",2020,2020-11-19
Greaney20,10.1016/j.chom.2020.11.007,NULL,"Greaney, AJ",2020,2020-11-22
Starr20b,10.1101/2020.11.30.405472,NULL,"Starr, TN",2020,2020-12-07
McCallum21,10.1101/2021.01.14.426475,NULL,"McCallum, M",2021,2021-01-16
Avanzato20,10.1016/j.cell.2020.10.049,NULL,"Avanzato, VA",2020,2021-01-20
Choi20,10.1056/NEJMc2031364,NULL,"Choi, B",2020,2021-01-20
Kemp20,10.1101/2020.12.14.422555,NULL,"Kemp, S",2020,2021-01-20
Khatamzas21,10.1101/2021.01.10.20248871,NULL,"Khatamzas, E",2021,2021-01-20
Gottlieb21,10.1001/jama.2021.0202,NULL,"Gottlieb, RL",2021,2021-01-22
Andreano20b,10.1101/2020.12.28.424451,NULL,"Andreano, E",2020,2021-01-27
Bazykin21,NULL,https://virological.org/t/580,"Bazykin, GA",2021,2021-01-27
Collier21,10.1101/2021.01.19.21249840,NULL,"Collier,D",2021,2021-01-27
Greaney21,10.1101/2020.12.31.425021,NULL,"Greaney, AJ",2021,2021-01-27
Hu21,10.1101/2021.01.22.427749,NULL,"Hu, J",2021,2021-01-27
Muik21,10.1101/2021.01.18.426984,NULL,"Muik, A",2021,2021-01-27
Rees-Spear21,10.1101/2021.01.15.426849,NULL,"Rees-Spear, C",2021,2021-01-27
Wang21,10.1101/2021.01.15.426911,NULL,"Wang, Z",2021,2021-01-27
Wang21b,10.1101/2021.01.25.428137,NULL,"Wang, P",2021,2021-01-27
Wibmer21,10.1101/2021.01.18.427166,NULL,"Wibmer, CK",2021,2021-01-27
Wu21,10.1101/2021.01.25.427948,NULL,"Wu, K",2021,2021-01-27
Xie21,10.1101/2021.01.07.425740,NULL,"Xie, X",2021,2021-01-27
Sahin20,10.1038/s41586-020-2814-7,NULL,"Sahin,U",2020,2021-01-28
Xie21b,10.1101/2021.01.27.427998,NULL,"Xie, X",2021,2021-01-29
Shen21,10.1101/2021.01.27.428516,NULL,"Shen, X",2021,2021-01-29
Jangra21,10.1101/2021.01.26.21250543,NULL,"Jangra, S",2021,2021-01-29
