ab_name,abbreviation_name,availability,mature_month,institute,origin,priority,visibility,date_added
0304-3H3,NULL,NULL,NULL,Beijing Institute of Biotechnology,CP,5000,FALSE,2021-04-27
1-20,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
1-57,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
1-87,NULL,NULL,NULL,Columbia University,CP,5000,FALSE,2021-04-09
1.6C7,NULL,NULL,NULL,Utrecht University,Transgenic mice,5000,FALSE,2021-04-27
10-28,NULL,NULL,NULL,Columbia University,CP,5000,FALSE,2022-07-26
10-40,NULL,NULL,NULL,Columbia University,CP,5000,FALSE,2021-01-27
10D12,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
10F9,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
11-11,NULL,NULL,NULL,Columbia University,CP,5000,FALSE,2022-07-26
11D12,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
11E12,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
12-16,NULL,NULL,NULL,NULL,CP,5000,FALSE,2020-11-01
12-19,NULL,NULL,NULL,NULL,CP,5000,FALSE,2020-11-01
12B11,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
13B6,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
13G9,NULL,NULL,NULL,Columbia University,CP,5000,FALSE,2021-04-27
15033,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2022-05-05
150HC + 222LC,NULL,NULL,NULL,University of Oxford,CP,5000,FALSE,2021-04-17
157,NULL,NULL,NULL,Peking Union Medical College,CP,1000,FALSE,2021-01-27
158HC + 222LC,NULL,NULL,NULL,University of Oxford,CP,5000,FALSE,2021-04-17
175HC + 222LC,NULL,NULL,NULL,University of Oxford,CP,5000,FALSE,2021-04-17
17H9,NULL,NULL,NULL,New York Blood Center,CP,5000,FALSE,2021-04-27
18D9,NULL,NULL,NULL,New York Blood Center,CP,5000,FALSE,2021-04-27
19B2,NULL,NULL,NULL,New York Blood Center,CP,5000,FALSE,2021-04-27
1A10,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
1B07,NULL,NULL,NULL,Washington University School of Medicine,Immunized mice,5000,FALSE,2021-01-27
1B1,NULL,NULL,NULL,NIAID,CP,5000,FALSE,2022-11-18
1B10,NULL,NULL,NULL,Washington University School of Medicine,NULL,5000,FALSE,2021-04-27
1B12,NULL,NULL,NULL,Washington University School of Medicine,CP,5000,FALSE,2021-09-24
1C1,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
1C11,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
1E07,NULL,NULL,NULL,Washington University School of Medicine,NULL,5000,FALSE,2021-04-27
1E2,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
1E2-FC,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
1E9-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
1F8-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
1F8-IgG,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
1F9,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
1G8,NULL,NULL,NULL,NIAID,CP,5000,FALSE,2022-11-18
1H09,NULL,NULL,NULL,Washington University School of Medicine,CP,5000,FALSE,2021-09-24
2-15,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
2-17,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
2-30,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-02-05
2-36,NULL,NULL,NULL,NULL,NULL,1000,FALSE,2021-01-27
2-38,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-02-05
2-4,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
2-43,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-02-05
2-51,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-09
2-7,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
2004,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2008,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
201,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
2025,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2035,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
