ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,9,Figure 2b,=,2.5,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,9,Figure 2b,=,2.5,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,10,Figure 2b,=,2.5,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,10,Figure 2b,=,2.5,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,11,Figure 2b,=,2.2,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,12,Figure 2b,=,2.1,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,13,Figure 2b,=,1.7,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,13,Figure 2b,=,1.7,IC50,NULL,experimental,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,14,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,14,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,15,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,15,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,16,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,16,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.1.7 full genome,17,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_Mild,Wuhan-Hu-1,B.1.351 full genome,17,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
Faulkner21,CP_B.1.1.7,B.1.1.7 full genome,Wuhan-Hu-1,15,Figure 2b,NULL,NULL,IC50,NULL,control,1,authentic virus,2021-03-08
Faulkner21,CP_B.1.1.7,B.1.1.7 full genome,B.1.351 full genome,15,Figure 2b,NULL,NULL,IC50,NULL,both,1,authentic virus,2021-03-08
