ref_name,rx_name,control_variant_name,variant_name,ordinal_number,section,fold_cmp,fold,resistance_level,ineffective,cumulative_count,assay,date_added
Widera21,CP,Wildtype,B.1.1.7 full genome,2,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.1.7 full genome,3,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.1.7 full genome,7,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.1.7 full genome,8,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.1.7 full genome,9,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.1.7 full genome,10,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,Bamlanivimab,Wildtype,B.1.351 full genome,1,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.351 full genome,1,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.351 full genome,2,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.351 full genome,3,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.351 full genome,4,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.351 full genome,7,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,B.1.351 full genome,9,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,Bamlanivimab,Wildtype,P.2 full genome,1,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,P.2 full genome,1,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,P.2 full genome,3,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,P.2 full genome,4,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,P.2 full genome,7,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
Widera21,CP,Wildtype,P.2 full genome,9,Table 1,>,9999,NULL,experimental,1,authentic virus,2021-03-10
