ref_name,rx_name,control_strain_name,strain_name,ordinal_number,section,fold_cmp,fold,resistance_level,ineffective,cumulative_count,assay,date_added
Huang21,ZF2001-serum-012,Control,B.1.351 Spike,1,Table 1,=,1.5,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-014,Control,B.1.351 Spike,1,Table 1,=,1.0,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-024,Control,B.1.351 Spike,1,Table 1,=,1.0,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-082,Control,B.1.351 Spike,1,Table 1,=,2.0,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-088,Control,B.1.351 Spike,1,Table 1,=,2.0,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-102,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-135,Control,B.1.351 Spike,1,Table 1,=,2.0,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-153,Control,B.1.351 Spike,1,Table 1,=,1.5,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-154,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-233,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-290,Control,B.1.351 Spike,1,Table 1,=,1.0,NULL,NULL,1,NULL,2021-02-04
Huang21,ZF2001-serum-308,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-867,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-850,Control,B.1.351 Spike,1,Table 1,=,1.5,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-848,Control,B.1.351 Spike,1,Table 1,=,2.0,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-875,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-841,Control,B.1.351 Spike,1,Table 1,=,2.0,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-843,Control,B.1.351 Spike,1,Table 1,=,2.0,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-844,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-856,Control,B.1.351 Spike,1,Table 1,=,1.1,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-851,Control,B.1.351 Spike,1,Table 1,=,1.5,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-890,Control,B.1.351 Spike,1,Table 1,=,1.5,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-845,Control,B.1.351 Spike,1,Table 1,=,1.3,NULL,NULL,1,NULL,2021-02-04
Huang21,BBIBP-CorV-serum-869,Control,B.1.351 Spike,1,Table 1,=,1.5,NULL,NULL,1,NULL,2021-02-04
