ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Chen21,Tixagevimab,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.7,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Cilgavimab,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.4,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Tixagevimab + Cilgavimab,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2072,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2050,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-3025,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2381,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,2.9,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,1B07,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.8,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COVOX-384,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.2,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COVOX-40,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,S2E12,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,6.1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,S2H58,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,S2X259,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,2.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Vir-7831+S2E12,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Vir-7831,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-3,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.4,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-10,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.8,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-31,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-44,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.9,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2676,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",=,1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2489,S:614G,B.1.1.7 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,Tixagevimab,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,6.9,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Cilgavimab,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.8,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Tixagevimab + Cilgavimab,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,4,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2072,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2050,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,COV2-3025,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,5.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2381,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,1.9,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,1B07,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,COVOX-384,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,COVOX-40,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,33.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,S2E12,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,2.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,S2H58,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,S2X259,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,3.2,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Vir-7831+S2E12,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,2.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,Vir-7831,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-3,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-10,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,2.2,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-31,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,SARS2-44,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",=,0.8,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,COV2-2676,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,COV2-2489,S:614G,B.1.351 full genome,999,"Fig.1i,Source Data Fig.1i",>,9999,0,NULL,experimental,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,1999,"Fig.5a,  Source Data Fig 5a",=,3.1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,2999,"Fig.5a,  Source Data Fig 5a",=,3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,3999,"Fig.5a,  Source Data Fig 5a",=,2.4,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,4999,"Fig.5a,  Source Data Fig 5a",=,1.9,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,5999,"Fig.5a,  Source Data Fig 5a",=,2,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,6999,"Fig.5a,  Source Data Fig 5a",=,6.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,7999,"Fig.5a,  Source Data Fig 5a",=,2.8,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,8999,"Fig.5a,  Source Data Fig 5a",=,2.3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,9999,"Fig.5a,  Source Data Fig 5a",=,3.4,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.1.7 full genome,10999,"Fig.5a,  Source Data Fig 5a",=,0.9,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,1999,"Fig.5b,  Source Data Fig 5b",=,5.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,2999,"Fig.5b,  Source Data Fig 5b",=,4.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,3999,"Fig.5b,  Source Data Fig 5b",=,5.3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,4999,"Fig.5b,  Source Data Fig 5b",=,4.8,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,5999,"Fig.5b,  Source Data Fig 5b",=,11.4,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,6999,"Fig.5b,  Source Data Fig 5b",=,9.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,7999,"Fig.5b,  Source Data Fig 5b",=,50,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,8999,"Fig.5b,  Source Data Fig 5b",=,12.2,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,9999,"Fig.5b,  Source Data Fig 5b",=,10.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,B.1.351 full genome,10999,"Fig.5b,  Source Data Fig 5b",=,7.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,1999,"Fig.5c,  Source Data Fig 5c",=,2.1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,2999,"Fig.5c,  Source Data Fig 5c",=,2.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,3999,"Fig.5c,  Source Data Fig 5c",=,5.1,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,4999,"Fig.5c,  Source Data Fig 5c",=,2.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,5999,"Fig.5c,  Source Data Fig 5c",=,2.6,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,6999,"Fig.5c,  Source Data Fig 5c",=,6.3,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,7999,"Fig.5c,  Source Data Fig 5c",=,16.5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,8999,"Fig.5c,  Source Data Fig 5c",=,5,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,9999,"Fig.5c,  Source Data Fig 5c",=,5.2,0,NULL,NULL,1,authentic virus,2021-03-06
Chen21,CP,S:614G,P.1 full genome,10999,"Fig.5c,  Source Data Fig 5c",=,7.6,0,NULL,NULL,1,authentic virus,2021-03-06
