ref_name,rx_name,ab_name
Fenwick22,P5C3,P5C3
Fenwick22,P2G3,P2G3
Fenwick22,P2G3+P5C3,P5C3
Fenwick22,P2G3+P5C3,P2G3
Fenwick22,AZD cocktail,Cilgavimab
Fenwick22,AZD cocktail,Tixagevimab
Fenwick22,REGN cocktail,Imdevimab
Fenwick22,REGN cocktail,Casirivimab
Fenwick22,ADG-2,Adintrevimab
Fenwick22,Sotrovimab,Sotrovimab
Fenwick22,AZD1061,Cilgavimab
Fenwick22,AZD8895,Tixagevimab
Fenwick22,AZD8895+AZD1061,Cilgavimab
Fenwick22,AZD8895+AZD1061,Tixagevimab
Fenwick22,AZD mix,Cilgavimab
Fenwick22,AZD mix,Tixagevimab
