ref_name,rx_name,ab_name
Guo23,S2K146,S2K146
Guo23,REGN10933,Casirivimab
Guo23,CB6,Etesevimab
Guo23,CC12.1,CC12.1
Guo23,CC12.3,CC12.3
Guo23,C102,C102
Guo23,C105,C105
Guo23,COVA2-04,COVA2-04
Guo23,B38,B38
Guo23,S2E12,S2E12
Guo23,COV2-2196,Tixagevimab
Guo23,CT-P59,Regdanvimab
Guo23,CV07-287,CV07-287
Guo23,S2M11,S2M11
Guo23,C144,C144
Guo23,C002,C002
Guo23,BD23,BD23
Guo23,P2C-1A3,P2C-1A3
Guo23,COVA2-39,COVA2-39
Guo23,BD-368-2,BD-368-2
Guo23,LY-CoV555,Bamlanivimab
Guo23,P5A-1B9,P5A-1B9
Guo23,C119,C119
Guo23,P2B-2F6,P2B-2F6
Guo23,LY-CoV1404,Bebtelovimab
Guo23,COV2-2130,Cilgavimab
Guo23,REGN10987,Imdevimab
Guo23,C110,C110
Guo23,C118,C118
Guo23,COVA1-16,COVA1-16
Guo23,C022,C022
Guo23,S2X259,S2X259
Guo23,S2X35,S2X35
Guo23,S309,Sotrovimab
Guo23,C135,C135
Guo23,EY6A,EY6A
Guo23,H014,H014
Guo23,S2A4,S2A4
Guo23,S304,S304
Guo23,S2H97,S2H97
Guo23,WRAIR-2057,WRAIR-2057
Guo23,ION_300,ION_300
Guo23,COVOX-45,COVOX-45
Guo23,N-612-056,N-612-056
