ref_name,rx_name,ab_name
Huang22,Etesevimab,Etesevimab
Huang22,B38,B38
Huang22,BD-236,BD-236
Huang22,DXP-604,DXP-604
Huang22,BD-629,BD-629
Huang22,C102,C102
Huang22,C105,C105
Huang22,C1A-B3,C1A-B3
Huang22,C1A-C2,C1A-C2
Huang22,C1A-F10,C1A-F10
Huang22,CC12.1,CC12.1
Huang22,CC12.3,CC12.3
Huang22,COVA2-04,COVA2-04
Huang22,CV30,CV30
Huang22,Amubarvimab,Amubarvimab
Huang22,S2H14,S2H14
Huang22,Casirivimab,Casirivimab
Huang22,Bamlanivimab,Bamlanivimab
Huang22,Ab23,Ab23
Huang22,COVA2-39,COVA2-39
Huang22,C121,C121
Huang22,C144,C144
Huang22,P2C-1A3,P2C-1A3
Huang22,H4,H4
Huang22,S2E12,S2E12
Huang22,S2M11,S2M11
Huang22,2-4,2-4
Huang22,ADI-56046,ADI-56046
Huang22,BD-368-2,BD-368-2
Huang22,C002,C002
Huang22,C104,C104
Huang22,CV07-270,CV07-270
Huang22,P17,P17
Huang22,P2B-2F6,P2B-2F6
Huang22,S2H13,S2H13
Huang22,Imdevimab,Imdevimab
Huang22,C110,C110
Huang22,C119,C119
Huang22,C135,C135
Huang22,Sotrovimab,Sotrovimab
Huang22,2H04,2H04
Huang22,ABBV-47D11,ABBV-47D11
Huang22,COVA1-16,COVA1-16
Huang22,C022,C022
Huang22,2-36,2-36
Huang22,CR3022,CR3022
Huang22,EY6A,EY6A
Huang22,H014,H014
Huang22,S2A4,S2A4
Huang22,S304,S304
