ref_name,rx_name,ab_name
Wang22j,C1520,C1520
Wang22j,C1717,C1717
Wang22j,S3H3,S3H3
Wang22j,Brii-196,Amubarvimab
Wang22j,CAB-A17,CAB-A17
Wang22j,Omi-3,Omi-3
Wang22j,Omi-18,Omi-18
Wang22j,BD-515,BD-515
Wang22j,COVOX-222,COVOX-222
Wang22j,XGv347,XGv-347
Wang22j,ZCB11,ZCB11
Wang22j,COV2-2196,Tixagevimab
Wang22j,XGv282,XGv-282
Wang22j,LY-CoV1404,Bebtelovimab
Wang22j,S309,Sotrovimab
Wang22j,XGv289,XGv-289
Wang22j,Brii-198,Romlusevimab
Wang22j,2-7,2-7
Wang22j,COV2-2130,Cilgavimab
Wang22j,BD55-5840,BD55-5840
Wang22j,BD55-3152,BD55-3152
Wang22j,BD-804,BD-804
Wang22j,10-40,10-40
Wang22j,COV2-2130+COV2-2196,Cilgavimab
Wang22j,COV2-2130+COV2-2196,Tixagevimab
Wang22j,Brii-196+Brii-198,Amubarvimab
Wang22j,Brii-196+Brii-198,Romlusevimab
