ref_name,rx_name,ab_name
Cho21,C2159,C2159
Cho21,C2029,C2029
Cho21,C2139,C2139
Cho21,C2033,C2033
Cho21,C2209,C2209
Cho21,C2020,C2020
Cho21,C2221,C2221
Cho21,C2019,C2019
Cho21,C2110,C2110
Cho21,C2018,C2018
Cho21,C2022,C2022
Cho21,C2113,C2113
Cho21,C2149,C2149
Cho21,C2026,C2026
Cho21,C2150,C2150
Cho21,C2013,C2013
Cho21,C2185,C2185
Cho21,C2004,C2004
Cho21,C2140,C2140
Cho21,C2109,C2109
Cho21,C2039,C2039
Cho21,C2237,C2237
Cho21,C2049,C2049
Cho21,C2065,C2065
Cho21,C2319,C2319
Cho21,C2175,C2175
Cho21,C2219,C2219
Cho21,C2227,C2227
Cho21,C2047,C2047
Cho21,C2045,C2045
Cho21,C2188,C2188
Cho21,C2037,C2037
Cho21,C2228,C2228
Cho21,C2167,C2167
Cho21,C2318,C2318
Cho21,C2210,C2210
Cho21,C2317,C2317
Cho21,C2172,C2172
Cho21,C2070,C2070
Cho21,C2321,C2321
