ref_name,rx_name,ab_name
Wang22o,C1520,C1520
Wang22o,C1717,C1717
Wang22o,S3H3,S3H3
Wang22o,S2K146,S2K146
Wang22o,Omi-3,Omi-3
Wang22o,Omi-18,Omi-18
Wang22o,BD-515,BD-515
Wang22o,XGv051,XGv-051
Wang22o,XGv347,XGv-347
Wang22o,ZCB11,ZCB11
Wang22o,COV2-2196,Tixagevimab
Wang22o,LY-CoV1404,Bebtelovimab
Wang22o,XGv289,XGv-289
Wang22o,XGv264,XGv-264
Wang22o,S309,Sotrovimab
Wang22o,P2G3,P2G3
Wang22o,SP1-77,SP1-77
Wang22o,BD55-5840,BD55-5840
Wang22o,XGv282,XGv-282
Wang22o,BD-804,BD-804
Wang22o,35B5,35B5
Wang22o,COV2-2130,Cilgavimab
Wang22o,10-40,10-40
Wang22o,Evusheld,Tixagevimab
Wang22o,Evusheld,Cilgavimab
