ref_name,rx_name,ab_name
Yamasoba22c,Bamlanivimab,Bamlanivimab
Yamasoba22c,Bebtelovimab,Bebtelovimab
Yamasoba22c,Casirivimab,Casirivimab
Yamasoba22c,Cilgavimab,Cilgavimab
Yamasoba22c,Etesevimab,Etesevimab
Yamasoba22c,Imdevimab,Imdevimab
Yamasoba22c,Sotrovimab,Sotrovimab
Yamasoba22c,Tixagevimab,Tixagevimab
Yamasoba22c,Ronapreve,Casirivimab
Yamasoba22c,Ronapreve,Imdevimab
Yamasoba22c,ETE+BAM,Etesevimab
Yamasoba22c,ETE+BAM,Bamlanivimab
Yamasoba22c,Evusheld,Cilgavimab
Yamasoba22c,Evusheld,Tixagevimab
Yamasoba22c,Adintrevimab,Adintrevimab
Yamasoba22c,Regdanvimab,Regdanvimab
