ref_name,rx_name,ab_name
Zhou22,Casirivimab,Casirivimab
Zhou22,Imdevimab,Imdevimab
Zhou22,Cas+Imd,Casirivimab
Zhou22,Cas+Imd,Imdevimab
Zhou22,Bamlanivimab,Bamlanivimab
Zhou22,Etesevimab,Etesevimab
Zhou22,BAM+ETE,Bamlanivimab
Zhou22,BAM+ETE,Etesevimab
Zhou22,Tixagevimab,Tixagevimab
Zhou22,Cilgavimab,Cilgavimab
Zhou22,Tix+Cil,Tixagevimab
Zhou22,Tix+Cil,Cilgavimab
Zhou22,SOT,Sotrovimab
Zhou22,CAS_Figure_S1,Casirivimab
Zhou22,IMD_Figure_S1,Imdevimab
Zhou22,CAS_IMD_Figure_S1,Casirivimab
Zhou22,CAS_IMD_Figure_S1,Imdevimab
Zhou22,BAM_Figure_S1,Bamlanivimab
Zhou22,ETE_Figure_S1,Etesevimab
Zhou22,BAM_ETE_Figure_S1,Bamlanivimab
Zhou22,BAM_ETE_Figure_S1,Etesevimab
Zhou22,TIX_Figure_S1,Tixagevimab
Zhou22,CIL_Figure_S1,Cilgavimab
Zhou22,TIX_CIL_Figure_S1,Tixagevimab
Zhou22,TIX_CIL_Figure_S1,Cilgavimab
Zhou22,SOT_Figure_S1,Sotrovimab
