ref_name,rx_name,ab_name
Wang23c,C1520,C1520
Wang23c,C1717,C1717
Wang23c,S3H3,S3H3
Wang23c,Brii-196,Amubarvimab
Wang23c,Omi-3,Omi-3
Wang23c,Omi-18,Omi-18
Wang23c,BD-515,BD-515
Wang23c,COVOX-222,COVOX-222
Wang23c,XGv051,XGv-051
Wang23c,XGv347,XGv-347
Wang23c,ZCB11,ZCB11
Wang23c,S2E12,S2E12
Wang23c,COV2-2196,Tixagevimab
Wang23c,LY-CoV1404,Bebtelovimab
Wang23c,2-7,2-7
Wang23c,XGv289,XGv-289
Wang23c,XGv264,XGv-264
Wang23c,S309,Sotrovimab
Wang23c,P2G3,P2G3
Wang23c,SP1-77,SP1-77
Wang23c,BD55-5840,BD55-5840
Wang23c,BD55-3152,BD55-3152
Wang23c,XGv282,XGv-282
Wang23c,BD-804,BD-804
Wang23c,A19-46.1,A19-46.1
Wang23c,35B5,35B5
Wang23c,JMB2002,JMB2002
Wang23c,Brii-198,Romlusevimab
Wang23c,COV2-2130,Cilgavimab
Wang23c,10-40,10-40
Wang23c,COV2-2196+COV2-2130,Tixagevimab
Wang23c,COV2-2196+COV2-2130,Cilgavimab
Wang23c,Brii-196+Brii-198,Amubarvimab
Wang23c,Brii-196+Brii-198,Romlusevimab
