ref_name,rx_name,ab_name
Dejnirattisai21,AZD1061,Cilgavimab
Dejnirattisai21,AZD8895,Tixagevimab
Dejnirattisai21,AZD7442,Tixagevimab
Dejnirattisai21,AZD7442,Cilgavimab
Dejnirattisai21,REGN10987,Imdevimab
Dejnirattisai21,REGN10933,Casirivimab
Dejnirattisai21,ADG10,ADG10
Dejnirattisai21,ADG20,Adintrevimab
Dejnirattisai21,ADG30,ADG30
Dejnirattisai21,LY-CoV555,Bamlanivimab
Dejnirattisai21,LY-CoV16,Etesevimab
Dejnirattisai21,S309,Sotrovimab
Dejnirattisai21,222,Fab 222
Dejnirattisai21,150,Fab 150
Dejnirattisai21,158,Fab 158
Dejnirattisai21,175,Fab 175
Dejnirattisai21,222H+222L,222HC + 222LC
Dejnirattisai21,150H+222L,150HC + 222LC
Dejnirattisai21,158H+222L,158HC + 222LC
Dejnirattisai21,269H+222L,269HC + 222LC
Dejnirattisai21,175H+222L,175HC + 222LC
