ref_name,rx_name,ab_name
Chen22e,G6,G6
Chen22e,4A12,4A12
Chen22e,4B7,4B7
Chen22e,A7,A7
Chen22e,1B1,1B1
Chen22e,4C6,4C6
Chen22e,H11,H11
Chen22e,1G8,1G8
Chen22e,2A12,2A12
Chen22e,3F6,3F6
Chen22e,3B6,Chen22e_3B6
Chen22e,4B6,4B6
Chen22e,D12,Chen22e_D12
Chen22e,NA8,NA8
Chen22e,NE8,NE8
Chen22e,NE12,NE12
Chen22e,NF8,NF8
Chen22e,NG3,NG3
Chen22e,REGN10933,Casirivimab
Chen22e,REGN10987,Imdevimab
Chen22e,LY-CoV555,Bamlanivimab
Chen22e,LY-CoV016,Etesevimab
Chen22e,COV2-2196,Tixagevimab
Chen22e,COV2-2130,Cilgavimab
Chen22e,S309,Sotrovimab
Chen22e,NA8+NE12,NA8
Chen22e,NA8+NE12,NE12
Chen22e,REGN10933+REGN10987,Casirivimab
Chen22e,REGN10933+REGN10987,Imdevimab
Chen22e,LY-CoV555+LY-CoV016,Bamlanivimab
Chen22e,LY-CoV555+LY-CoV016,Etesevimab
Chen22e,COV2-2196+COV2-2130,Tixagevimab
Chen22e,COV2-2196+COV2-2130,Cilgavimab
