ref_name,rx_name,ab_name
Zhou21e,A23-58.1_F2C,A23-58.1
Zhou21e,B1-182.1_F2C,B1-182.1
Zhou21e,COV2-2196_F2C,Tixagevimab
Zhou21e,S2E12_F2C,S2E12
Zhou21e,CB6_F2C,Etesevimab
Zhou21e,REGN10933_F2C,Casirivimab
Zhou21e,CT-P59_F2C,Regdanvimab
Zhou21e,ADG2_F2C,Adintrevimab
Zhou21e,A19-46.1_F2C,A19-46.1
Zhou21e,LY-COV555_F2C,Bamlanivimab
Zhou21e,C144_F2C,C144
Zhou21e,A19-61.1_F2C,A19-61.1
Zhou21e,REGN10987_F2C,Imdevimab
Zhou21e,COV2-2130_F2C,Cilgavimab
Zhou21e,C135_F2C,C135
Zhou21e,S309_F2C,Sotrovimab
Zhou21e,LY-CoV1404_F2C,LY3853113
Zhou21e,A23-58.1,A23-58.1
Zhou21e,B1-182.1,B1-182.1
Zhou21e,COV2-2196,Tixagevimab
Zhou21e,S2E12,S2E12
Zhou21e,CB6,Etesevimab
Zhou21e,REGN10933,Casirivimab
Zhou21e,CT-P59,Regdanvimab
Zhou21e,ADG2,Adintrevimab
Zhou21e,A19-46.1,A19-46.1
Zhou21e,LY-COV555,Bamlanivimab
Zhou21e,C144,C144
Zhou21e,A19-61.1,A19-61.1
Zhou21e,REGN10987,Imdevimab
Zhou21e,COV2-2130,Cilgavimab
Zhou21e,C135,C135
Zhou21e,S309,Sotrovimab
Zhou21e,LY-CoV1404,LY3853113
Zhou21e,CB6/LY-CoV555,Etesevimab
Zhou21e,CB6/LY-CoV555,Bamlanivimab
Zhou21e,REGN10933/REGN10987,Casirivimab
Zhou21e,REGN10933/REGN10987,Imdevimab
Zhou21e,COV2-2196/COV2-2130,Cilgavimab
Zhou21e,COV2-2196/COV2-2130,Tixagevimab
Zhou21e,B1-182.1/A19-46.1,B1-182.1
Zhou21e,B1-182.1/A19-46.1,A19-46.1
Zhou21e,B1-182.1/A19-61.1,B1-182.1
Zhou21e,B1-182.1/A19-61.1,A19-61.1
Zhou21e,B1-182.1/S309,B1-182.1
Zhou21e,B1-182.1/S309,Sotrovimab
Zhou21e,B1-182.1/LY-CoV1404,B1-182.1
Zhou21e,B1-182.1/LY-CoV1404,LY3853113
Zhou21e,LY-CoV1404/A19-46.1,LY3853113
Zhou21e,LY-CoV1404/A19-46.1,A19-46.1
Zhou21e,LY-CoV1404/S2E12,LY3853113
Zhou21e,LY-CoV1404/S2E12,S2E12
Zhou21e,LY-CoV1404/ADG2,LY3853113
Zhou21e,LY-CoV1404/ADG2,Adintrevimab
