ref_name,rx_name,ab_name
Gruell22c,Bamlanivimab,Bamlanivimab
Gruell22c,Etesevimab,Etesevimab
Gruell22c,Bebtelovimab,Bebtelovimab
Gruell22c,Imdevimab,Imdevimab
Gruell22c,Casirivimab,Casirivimab
Gruell22c,Sotrovimab,Sotrovimab
Gruell22c,Tixagevimab,Tixagevimab
Gruell22c,Cilgavimab,Cilgavimab
Gruell22c,Regdanvimab,Regdanvimab
Gruell22c,DZIF-10c,DZIF-10c
Gruell22c,BRII-196,Amubarvimab
Gruell22c,COV2-2381,COV2-2381
Gruell22c,MAD0004J08,MAD0004J08
Gruell22c,ADG-2,Adintrevimab
Gruell22c,C135,C135
Gruell22c,C144,C144
Gruell22c,BD-368-2,BD-368-2
