ref_name,rx_name,ab_name
Wang22d,1-20,1-20
Wang22d,CAB-A17,CAB-A17
Wang22d,CB6,Etesevimab
Wang22d,BRII-196,Amubarvimab
Wang22d,REGN10933,Casirivimab
Wang22d,COV2-2196,Tixagevimab
Wang22d,LY-CoV555,Bamlanivimab
Wang22d,ZCB11,ZCB11
Wang22d,2-15,2-15
Wang22d,REGN10987,Imdevimab
Wang22d,COV2-2130,Cilgavimab
Wang22d,LY-CoV1404,Bebtelovimab
Wang22d,BRII-198,Romlusevimab
Wang22d,S309,Sotrovimab
Wang22d,2-7,2-7
Wang22d,ADG-2,Adintrevimab
Wang22d,DH1047,DH1047
Wang22d,10-40,10-40
Wang22d,S2X259,S2X259
Wang22d,4-18,4-18
Wang22d,5-7,5-7
Wang22d,REGN10987+10933,Imdevimab
Wang22d,REGN10987+10933,Casirivimab
Wang22d,COV2-2196+2130,Cilgavimab
Wang22d,COV2-2196+2130,Tixagevimab
Wang22d,LY-CoV555+CB6,Bamlanivimab
Wang22d,LY-CoV555+CB6,Etesevimab
Wang22d,BRII-196+198,Amubarvimab
Wang22d,BRII-196+198,Romlusevimab
