ref_name,rx_name,ab_name
Chen21,Tixagevimab,Tixagevimab
Chen21,Cilgavimab,Cilgavimab
Chen21,Tixagevimab + Cilgavimab,Tixagevimab
Chen21,Tixagevimab + Cilgavimab,Cilgavimab
Chen21,COV2-2072,COV2-2072
Chen21,COV2-2050,COV2-2050
Chen21,COV2-3025,COV2-3025
Chen21,COV2-2381,COV2-2381
Chen21,1B07,1B07
Chen21,COVOX-384,COVOX-384
Chen21,COVOX-40,COVOX-40
Chen21,S2E12,S2E12
Chen21,S2H58,S2H58
Chen21,S2X259,S2X259
Chen21,Vir-7831+S2E12,Vir-7831
Chen21,Vir-7831+S2E12,S2E12
Chen21,Vir-7831,Vir-7831
Chen21,SARS2-3,SARS2-3
Chen21,SARS2-10,SARS2-10
Chen21,SARS2-31,SARS2-31
Chen21,SARS2-44,SARS2-44
Chen21,COV2-2676,COV2-2676
Chen21,COV2-2489,COV2-2489
