ref_name,rx_name,ab_name
Hou22b,Omi02,Omi-2
Hou22b,Omi03,Omi-3
Hou22b,Omi06,Omi-6
Hou22b,Omi08,Omi-8
Hou22b,Omi09,Omi-9
Hou22b,Omi12,Omi-12
Hou22b,Omi16,Omi-16
Hou22b,Omi17,Omi-17
Hou22b,Omi18,Omi-18
Hou22b,Omi20,Omi-20
Hou22b,Omi23,Omi-23
Hou22b,Omi24,Omi-24
Hou22b,Omi25,Omi-25
Hou22b,Omi26,Omi-26
Hou22b,Omi27,Omi-27
Hou22b,Omi28,Omi-28
Hou22b,Omi29,Omi-29
Hou22b,Omi30,Omi-30
Hou22b,Omi31,Omi-31
Hou22b,Omi32,Omi-32
Hou22b,Omi33,Omi-33
Hou22b,Omi34,Omi-34
Hou22b,Omi35,Omi-35
Hou22b,Omi36,Omi-36
Hou22b,Omi38,Omi-38
Hou22b,Omi39,Omi-39
Hou22b,Omi41,Omi-41
Hou22b,Omi42,Omi-42
Hou22b,REGN10987,Imdevimab
Hou22b,REGN10933,Casirivimab
Hou22b,AZD1061,Cilgavimab
Hou22b,AZD8895,Tixagevimab
Hou22b,AZD7442,Tixagevimab
Hou22b,AZD7442,Cilgavimab
Hou22b,ADG10,ADG10
Hou22b,ADG20,Adintrevimab
Hou22b,ADG30,ADG30
Hou22b,Ly-CoV555,Bamlanivimab
Hou22b,Ly-CoV16,Etesevimab
Hou22b,Ly-CoV1404,Bebtelovimab
Hou22b,S309,Sotrovimab
