ref_name,rx_name,ab_name
Cao22,15033,Fab_15033
Cao22,1-57,1-57
Cao22,2-15,2-15
Cao22,ADG-2,Adintrevimab
Cao22,B38,B38
Cao22,BG1-24,BG1-24
Cao22,BG10-19,BG10-19
Cao22,BG4-25,BG4-25
Cao22,BG7-15,BG7-15
Cao22,BG7-20,BG7-20
Cao22,BRII-196,Amubarvimab
Cao22,BRII-198,Romlusevimab
Cao22,C002,C002
Cao22,C048,C048
Cao22,C058,C058
Cao22,C083,C083
Cao22,C085,C085
Cao22,C093,C093
Cao22,C102,C102
Cao22,C105,C105
Cao22,C110,C110
Cao22,C121,C121
Cao22,C144,C144
Cao22,C1A-B12,C1A-B12
Cao22,C1A-B3,C1A-B3
Cao22,C1A-C2,C1A-C2
Cao22,C1A-F10,C1A-F10
Cao22,C556,C556
Cao22,C578,C578
Cao22,C581,C581
Cao22,C591,C591
Cao22,C594,C594
Cao22,C597,C597
Cao22,CC12.1,CC12.1
Cao22,CC12.3,CC12.3
Cao22,CM32,CM32
Cao22,COV2-2015,COV2-2015
Cao22,COV2-2064,COV2-2064
Cao22,COV2-2072,COV2-2072
Cao22,COV2-2098,COV2-2098
Cao22,COV2-2103,COV2-2103
Cao22,COV2-2113,COV2-2113
Cao22,COV2-2130,Cilgavimab
Cao22,COV2-2196,Tixagevimab
Cao22,COV2-2268,COV2-2268
Cao22,COV2-2308,COV2-2308
Cao22,COV2-2381,COV2-2381
Cao22,COV2-2389,COV2-2389
Cao22,COV2-2391,COV2-2391
Cao22,COV2-2479,COV2-2479
Cao22,COV2-2499,COV2-2499
Cao22,COV2-2504,COV2-2504
Cao22,COV2-2514,COV2-2514
Cao22,COV2-2539,COV2-2539
Cao22,COV2-2589,COV2-2589
Cao22,COV2-2678,COV2-2678
Cao22,COV2-2684,COV2-2684
Cao22,COV2-2693,COV2-2693
Cao22,COV2-2780,COV2-2780
Cao22,COV2-2807,COV2-2807
Cao22,COV2-2828,COV2-2828
Cao22,COV2-2919,COV2-2919
Cao22,COV2-2941,COV2-2941
Cao22,COV2-2955,COV2-2955
Cao22,COVA1-16,COVA1-16
Cao22,COVA2-04,COVA2-04
Cao22,COVA2-39,COVA2-39
Cao22,COVOX-253H165L,COVOX-253H165L
Cao22,COVOX-253H55L,COVOX-253H55L
Cao22,COVOX-269,COVOX-269
Cao22,COVOX-316,COVOX-316
Cao22,COVOX-384,COVOX-384
Cao22,COVOX-75,COVOX-75
Cao22,CR3022-B6,CR3022-B6
Cao22,CV-X2-106,CV-X2-106
Cao22,CV05-163,CV05-163
Cao22,CV07-200,CV07-200
Cao22,CV07-209,CV07-209
Cao22,CV07-222,CV07-222
Cao22,CV07-255,CV07-255
Cao22,CV07-262,CV07-262
Cao22,CV07-270,CV07-270
Cao22,CV07-283,CV07-283
Cao22,CV07-287,CV07-287
Cao22,CV07-315,CV07-315
Cao22,CV30,CV30
Cao22,CV38-142,CV38-142
Cao22,DH1041,DH1041
Cao22,DH1042,DH1042
Cao22,DH1043,DH1043
Cao22,DH1044,DH1044
Cao22,DH1045,DH1045
Cao22,DH1046,DH1046
Cao22,DH1047,DH1047
Cao22,DH1082,DH1082
Cao22,DH1111,DH1111
Cao22,DH1126,DH1126
Cao22,DH1140,DH1140
Cao22,DH1151,DH1151
Cao22,DH1154,DH1154
Cao22,DH1155,DH1155
Cao22,DH1159-2,DH1159.2
Cao22,DH1160,DH1160
Cao22,DH1161-2,DH1161.2
Cao22,DH1173,DH1173
Cao22,DH1179,DH1179
Cao22,DH1184,DH1184
Cao22,DH1186,DH1186
Cao22,DH1193,DH1193
Cao22,DH1196,DH1196
Cao22,DH1210,DH1210
Cao22,DH1214,DH1214
Cao22,Ehling_mAb-50,Ehling_mAb-50
Cao22,Ehling_mAb-64,Ehling_mAb-64
Cao22,Ehling_mAb-82,Ehling_mAb-82
Cao22,FC08,FC08
Cao22,H014,H014
Cao22,H4,H4
Cao22,HuR33,HuR33
Cao22,LY-CoV016,Etesevimab
Cao22,LY-CoV1404,Bebtelovimab
Cao22,LY-CoV481,LY-CoV481
Cao22,LY-CoV488,LY-CoV488
Cao22,LY-CoV555,Bamlanivimab
Cao22,P17,P17
Cao22,P2B-1A10,P2B-1A10
Cao22,P2B-2F6,P2B-2F6
Cao22,P2C-1A3,P2C-1A3
Cao22,P4A1,P4A1
Cao22,P5A-2G9,P5A-2G9
Cao22,P5A-3A1,P5A-3A1
Cao22,REGN10933,Casirivimab
Cao22,REGN10987,Imdevimab
Cao22,S2E12,S2E12
Cao22,S2H13,S2H13
Cao22,S2H14,S2H14
Cao22,S2H97,S2H97
Cao22,S2K146,S2K146
Cao22,S2M11,S2M11
Cao22,S2X259,S2X259
Cao22,S2X35,S2X35
Cao22,S304,S304
Cao22,S309,Sotrovimab
Cao22,TAU-2230,TAU-2230
Cao22,WIBP-2B11,WIBP-2B11
