ref_name,rx_name,ab_name
Wang21b,1-57,1-57
Wang21b,2-15,2-15
Wang21b,2-17,2-17
Wang21b,2-36,2-36
Wang21b,2-7,2-7
Wang21b,4-19,4-19
Wang21b,4-8,4-8
Wang21b,4A8,4A8
Wang21b,5-24,5-24
Wang21b,5-7,5-7
Wang21b,910-30,910-30
Wang21b,C121,C121
Wang21b,C135,C135
Wang21b,COVA1-16,COVA1-16
Wang21b,LY-CoV555,Bamlanivimab
Wang21b,REGN10933,Casirivimab
Wang21b,REGN10987,Imdevimab
Wang21b,S309,Sotrovimab
Wang21b,REGN10933/10987,Casirivimab
Wang21b,REGN10933/10987,Imdevimab
Wang21b,LY-CoV555/CB6,Bamlanivimab
Wang21b,LY-CoV555/CB6,Etesevimab
Wang21b,BRII-196/198,BRII-196
Wang21b,BRII-196/198,BRII-198
Wang21b,COV2-2196/2130,Tixagevimab
Wang21b,COV2-2196/2130,Cilgavimab
Wang21b,1-20,1-20
Wang21b,CB6,Etesevimab
Wang21b,4-20,4-20
Wang21b,2-4,2-4
Wang21b,2-43,2-43
Wang21b,2-30,2-30
Wang21b,COV2-2196,Tixagevimab
Wang21b,BRII-198,BRII-198
Wang21b,BRII-196,BRII-196
Wang21b,2-38,2-38
Wang21b,COV2-2130,Cilgavimab
Wang21b,REGN10985,REGN10985
