ref_name,rx_name,ab_name
VanBlargan22,COV2-2196,Tixagevimab
VanBlargan22,COV2-2130,Cilgavimab
VanBlargan22,COV2-2196+COV2-2130,Tixagevimab
VanBlargan22,COV2-2196+COV2-2130,Cilgavimab
VanBlargan22,REGN10987,Imdevimab
VanBlargan22,REGN10933,Casirivimab
VanBlargan22,REGN10987+REGN10933,Imdevimab
VanBlargan22,REGN10987+REGN10933,Casirivimab
VanBlargan22,LY-CoV555,Bamlanivimab
VanBlargan22,LY-CoV016,Etesevimab
VanBlargan22,LY-CoV555+LY-CoV016,Bamlanivimab
VanBlargan22,LY-CoV555+LY-CoV016,Etesevimab
VanBlargan22,S309,Sotrovimab
VanBlargan22,CT-P59,Regdanvimab
VanBlargan22,SARS2-38,SARS2-38
VanBlargan22,COV2-2196_2,Tixagevimab
VanBlargan22,COV2-2130_2,Cilgavimab
VanBlargan22,COV2-2196+COV2-2130_2,Tixagevimab
VanBlargan22,COV2-2196+COV2-2130_2,Cilgavimab
VanBlargan22,REGN10987_2,Imdevimab
VanBlargan22,REGN10933_2,Casirivimab
VanBlargan22,REGN10987+REGN10933_2,Imdevimab
VanBlargan22,REGN10987+REGN10933_2,Casirivimab
VanBlargan22,LY-CoV555_2,Bamlanivimab
VanBlargan22,LY-CoV016_2,Etesevimab
VanBlargan22,LY-CoV555+LY-CoV016_2,Bamlanivimab
VanBlargan22,LY-CoV555+LY-CoV016_2,Etesevimab
VanBlargan22,S309_2,Sotrovimab
VanBlargan22,CT-P59_2,Regdanvimab
VanBlargan22,SARS2-38_2,SARS2-38
VanBlargan22,AZD8895,Tixagevimab
VanBlargan22,AZD1061,Cilgavimab
VanBlargan22,AZD7442,Tixagevimab
VanBlargan22,AZD7442,Cilgavimab
